subject_id,class_id,class_name,dice_before,dice_after,dice_delta,hd95_before_mm,hd95_after_mm,hd95_delta_mm,assd_before_mm,assd_after_mm,assd_delta_mm
sub-079,1,eCSF,0.8883148031848923,0.8889707896254766,0.0006559864405842886,1.118033988749895,1.118033988749895,0.0,0.4957865788791211,0.4952226355510731,-0.0005639433280479889
sub-079,2,GM,0.7882313073863861,0.7896968781927907,0.0014655708064045259,1.118033988749895,1.118033988749895,0.0,0.45503887276733906,0.4530907448765835,-0.0019481278907555466
sub-079,6,dGM,0.8507095369811922,0.8503032193228679,-0.00040631765832432887,2.5,2.5,0.0,0.8438055759315413,0.8498292970302004,0.006023721098659118
sub-043,1,eCSF,0.867408563567863,0.8681888751031226,0.0007803115352595924,1.118033988749895,1.118033988749895,0.0,0.48766353245584787,0.4878613923501776,0.00019785989432974382
sub-043,2,GM,0.8126371959672132,0.8128484880103821,0.00021129204316894246,0.8660254037844386,0.8660254037844386,0.0,0.35525558320447637,0.3572007010130902,0.0019451178086138388
sub-043,6,dGM,0.7927846674182638,0.7925563909774436,-0.0002282764408202409,2.1213203435596424,2.0615528128088303,-0.05976753075081209,0.813060558424619,0.8131540326957793,9.347427116035423e-05
sub-074,1,eCSF,0.8518131563734463,0.8522276773216699,0.00041452094822358454,1.118033988749895,1.118033988749895,0.0,0.47349889974240916,0.47501781609980376,0.0015189163573945952
sub-074,2,GM,0.8040899896090162,0.804225975366915,0.0001359857578987489,0.8660254037844386,0.8660254037844386,0.0,0.38277754694728056,0.3846042421792581,0.0018266952319775376
sub-074,6,dGM,0.8502768987341772,0.8492576707357308,-0.001019227998446448,1.5,1.5,0.0,0.6429078863207203,0.6477539555772449,0.004846069256524643
sub-042,1,eCSF,0.8659949396342193,0.8666970414466363,0.0007021018124170331,1.118033988749895,1.118033988749895,0.0,0.4894315878443339,0.4913753151366031,0.001943727292269215
sub-042,2,GM,0.7998009325362735,0.8005864320938292,0.0007854995575556911,1.0,1.0,0.0,0.3897987013283565,0.390152905450128,0.0003542041217715064
sub-042,6,dGM,0.8086915301925165,0.8083693023540576,-0.00032222783845892167,2.29128784747792,2.29128784747792,0.0,0.8890487953250302,0.8898344622701327,0.0007856669451025144
sub-054,1,eCSF,0.8786071827302616,0.8789788402658407,0.0003716575355791063,1.118033988749895,1.118033988749895,0.0,0.48111672273125633,0.4841226521591049,0.0030059294278485527
sub-054,2,GM,0.7646588825773254,0.7653619027786042,0.0007030202012787701,1.224744871391589,1.224744871391589,0.0,0.5224277878028633,0.5127934535710211,-0.009634334231842123
sub-054,6,dGM,0.821016577117668,0.8206872019341497,-0.00032937518351827677,3.7416573867739413,3.6742346141747673,-0.06742277259917406,1.0750828070653593,1.077115112272838,0.0020323052074786574
sub-049,1,eCSF,0.8639844221001061,0.864919229068386,0.0009348069682799665,1.224744871391589,1.224744871391589,0.0,0.500216417187351,0.49877164139909924,-0.001444775788251751
sub-049,2,GM,0.7804641542034703,0.781739384535603,0.0012752303321327263,1.0,1.0,0.0,0.4273181153116696,0.4292647763168817,0.0019466610052121247
sub-049,6,dGM,0.8789371234358103,0.878748370273794,-0.00018875316201627523,2.0615528128088303,2.0615528128088303,0.0,0.7272688657451573,0.7309197367292307,0.003650870984073462
sub-020,1,eCSF,0.12381528190542693,0.12574507550815764,0.0019297936027307117,15.655704315071413,15.556720998315203,-0.0989833167562093,5.853115114938153,5.755594232785938,-0.09752088215221466
sub-020,2,GM,0.47232925985380436,0.46973522090963,-0.0025940389441743705,3.1551681072349154,3.416354765793406,0.26118665855849077,1.03780538670212,1.1087738045707962,0.07096841786867625
sub-020,6,dGM,0.7676602189027328,0.7671447735011867,-0.0005154454015461329,4.613381281717595,4.628145039259628,0.014763757542032963,1.6391461580352429,1.6491859717818362,0.010039813746593351
sub-034,1,eCSF,0.9024584147107381,0.9026883440190256,0.00022992930828757974,1.0155999660491943,1.0155999660491943,0.0,0.4239711172723663,0.426507842884446,0.002536725612079682
sub-034,2,GM,0.7733541331820617,0.7740469125068516,0.0006927793247899494,1.1354752810162385,1.1354752810162385,0.0,0.46427035864879107,0.46464531025468975,0.0003749516058986768
sub-034,6,dGM,0.8809500501700889,0.8814173151274899,0.0004672649574010146,2.2134488095358886,2.270950562032477,0.0575017524965884,0.7662066456116624,0.7689925311363798,0.0027858855247173686
sub-039,1,eCSF,0.8923810234997652,0.8923983282572854,1.730475752015348e-05,1.0155999660491943,1.0155999660491943,0.0,0.3996811533875637,0.4034947561024551,0.0038136027148913954
sub-039,2,GM,0.7795425410729084,0.7788215730560175,-0.0007209680168909216,0.8795353706812157,0.8795353706812157,0.0,0.40609899463829136,0.4074267919565949,0.0013277973183035696
sub-039,6,dGM,0.8143208385454859,0.8149374730487279,0.0006166345032420084,2.5892820224445057,2.638606112043647,0.04932408959914136,0.9894186823207971,0.9971126405484938,0.007693958227696696
sub-025,1,eCSF,0.16182771431547516,0.16899212380418072,0.007164409488705559,12.932424125429792,12.657600224018097,-0.2748239014116951,4.8606324675828665,4.594681382893655,-0.26595108468921147
